id,name,platforms,original_price(£),discounted_price(£),discount(%),product_type,publisher,rel_date,developer,genre
184,BELOW,['PS4'],19.99,4.99,-75,FULL_GAME,Capy Games,2020-04-07,Capy Games,"Survival, Dungeon Crawler"
185,DiRT Rally 2.0,['PS4'],24.99,6.24,-75,FULL_GAME,Codemasters,2019-02-26,Codemasters,"Automobile, Simulation Racing"
186,Xeno Crisis,['PS4'],14.99,7.49,-50,FULL_GAME,Bitmap Bureau,2019-10-28,Bitmap Bureau,Shoot 'em up
187,Dracula's Legacy,['PS4'],15.99,11.19,-30,FULL_GAME,Joindots,2019-03-28,Jetdogs Studios,"Adventure, Point & Click"
188,For The King,['PS4'],19.99,5.99,-70,FULL_GAME,"Curve Games, Merge Games",2019-05-07,IronOak Games,"Role Playing, Turn Based, Card & Board"
189,Dimension Drive,['PS4'],9.99,4.99,-50,FULL_GAME,LBC Games,2018-09-04,2Awesome Studio,Shoot 'em up
190,PONG Quest,['PS4'],14.99,11.99,-20,FULL_GAME,Atari,2020-05-29,Chequered Ink,"Role Playing, Dungeon Crawler"
191,Guns'n'Stories: Bulletproof VR,['PS4'],7.99,3.99,-50,FULL_GAME,MiroWin,2018-12-07,MiroWin,First Person Shooter
192,Nexomon: Extinction,['PS4'],15.99,7.99,-50,FULL_GAME,PQube,2020-08-28,VEWO Interactive,"Role Playing, Turn Based"
194,NBA 2K Playgrounds 2,['PS4'],24.99,6.24,-75,FULL_GAME,2K Games,2018-10-16,Saber Interactive,"Sports, Basketball"
195,Tales of Berseria,['PS4'],15.99,7.99,-50,FULL_GAME,Bandai Namco Entertainment,2017-01-24,Bandai Namco Entertainment,"Action-RPG, Role Playing"
196,Tools Up!,['PS4'],15.99,6.39,-60,FULL_GAME,All In! Games,2019-12-03,The Knights of Unity,Action
197,Sakura Wars,['PS4'],49.99,14.99,-70,FULL_GAME,SEGA,2020-04-28,SEGA,"Action-Adventure, Mech"
198,13 Sentinels: Aegis Rim,['PS4'],49.99,32.49,-35,FULL_GAME,Atlus,2020-09-22,"Atlus, Vanillaware","Mech, Strategy, Turn Based"
199,Override: Mech City Brawl,['PS4'],15.99,2.39,-85,FULL_GAME,Modus Games,2018-12-04,The Balance,"Fighting, Mech"
200,Keep Talking and Nobody Explodes,['PS4'],11.99,5.99,-50,FULL_GAME,Steel Crate Games,2016-10-13,Steel Crate Games,Puzzle
201,HardCube,['PS4'],4.99,1.99,-60,PREMIUM_EDITION,Big Way Games,2020-11-06,Big Way Games,Platformer
202,Outer Wilds,['PS4'],18.99,11.39,-40,FULL_GAME,Annapurna Interactive,2019-10-15,Mobius Digital,"Open World, Action-Adventure"
203,Balancelot,['PS4'],6.49,1.94,-70,FULL_GAME,Ratalaika Games,2021-01-19,"AnvilBird Interactive, Jestercraft",Action
204,Rescue HQ - The Tycoon,['PS4'],24.99,18.74,-25,FULL_GAME,AeroSoft,2021-09-28,stillalive studios,Management
205,FoxyLand 2,['PS4'],4.99,1.49,-70,GAME_BUNDLE,Ratalaika Games,2020-01-21,BUG-Studio,Platformer
206,Plague Inc: Evolved,['PS4'],11.99,4.07,-66,FULL_GAME,Ndemic Creations,2016-05-31,Ndemic Creations,Strategy
207,Pumped BMX +,['PS4'],7.99,1.59,-80,GAME_BUNDLE,Curve Games,2015-09-22,Yeah Us!,"Platformer, Sports, Cycling"
208,Action Henk,['PS4'],11.99,1.19,-90,FULL_GAME,Curve Games,2016-03-08,RageSquid,Platformer
209,Archaica: The Path Of Light,['PS4'],14.99,4.49,-70,FULL_GAME,Drageus Games,2020-04-24,"TwoMammoths, Drageus Games",Puzzle
210,Extinction,['PS4'],24.99,3.74,-85,FULL_GAME,Modus Games,2018-04-10,Iron Galaxy Studios,Hack & Slash
211,Back in 1995,['PS4'],7.99,3.99,-50,FULL_GAME,Ratalaika Games,2019-05-21,Throw the warped code out,Action Horror
